image,printed_page,first_section,last_section
004,4,4,
005,5,5,6
006,6,7,8
007,7,9,10
008,8,11,12
011,11,13,15
012,12,16,19
014,15,20,21
016,17,21,22
017,18,22,23
018,19,23,24
019,20,24,26
021,22,26,28
022,23,28,31
024,24,31,36
025,25,36,38
026,26,38,41
029,27,42,43
030,28,43,45
033,31,46,49
034,32,49,52
035,33,53,56
036,37,68,69
038,39,69,70
040,41,73,75
041,42,75,76
042,43,76,77
048,49,80,81
049,50,81,83
051,52,84,85
052,53,85,86
053,54,87,89
054,55,89,92
055,56,92,94
056,57,94,97
059,60,97,100
060,62,103,104
062,,100,103
063,,104,105
064,66,106,108
066,68,108,112
067,69,112,114
071,73,116,117
073,,117,118
075,77,119,120
078,80,123,124
079,81,124,125
081,,128,129
087,87,129,132
088,88,132,133
089,89,133,134
090,90,134,135
093,93,135,138
094,94,138,139
095,95,139,143
096,96,144,146
097,97,146,148
098,,148,150
099,99,150,154
100,100,154,157
101,,157,158
103,,159,160
107,107,161,163
108,108,163,166
109,109,166,169
110,110,169,171
111,111,171,176
113,113,177,179
114,114,180,184
115,115,185,186
116,116,187,189
117,117,189,192
118,118,192,194
119,119,195,197
120,120,197,198
148,148,241,244
149,149,245,
151,151,246,247
152,152,247,249
153,153,249,252
154,154,252,254
158,158,256,257
159,159,257,258
160,160,259,260
161,161,261,264
162,162,265,267
163,163,268,269
164,164,269,270
165,166,271,274
166,167,274,279
167,168,279,280
168,169,280,282
169,170,282,283
170,171,284,286
171,172,286,288
172,173,288,291
173,174,292,294
175,175,294,295
178,178,299,300
179,179,300,302
180,180,302,306
181,181,306,307
183,183,307,308
184,184,308,310
185,185,310,312
186,186,312,313
187,187,314,317
188,188,317,321
189,189,321,325
190,190,325,328
191,191,328,330
192,192,330,333
193,193,333,336
194,194,337,339
195,195,339,340
208,,340,341
211,211,341,342
212,212,342,343
216,216,343,344
217,217,344,346
218,218,346,348
219,219,349,352
220,220,352,355
221,221,355,359
222,222,359,360
223,223,360,362
224,224,362,365
225,225,365,366
227,227,366,369
228,228,369,372
229,229,372,373
235,235,373,375
236,236,375,376
239,239,378,382
240,240,382,385
242,242,387,390
243,243,390,392
248,248,394,395
250,250,395,397
251,251,397,398
252,252,398,399
253,253,400,401
254,254,401,403
255,255,403,404
256,,405,409
261,261,412,416
262,262,416,420
268,268,421,423
269,269,423,424
270,270,424,426
271,271,426,428
272,272,428,429
273,273,429,430
274,274,430,432
275,275,432,433
277,277,436,437
278,278,437,440
281,281,441,444
282,282,444,449
283,283,449,451
284,284,451,454
290,290,455,456
295,295,456,458
297,297,458,463
299,299,469,475
300,300,475,480
301,301,481,484
302,302,484,487
306,306,487,493
307,307,493,497
308,308,498,502
309,309,503,504
316,316,505,506
319,,506,508
320,320,508,
321,321,508,
323,323,508,509
324,324,509,511
325,325,511,512
326,326,512,513
327,327,514,518
329,329,520,527
331,331,527,528
332,332,528,
333,333,533,540
335,335,542,
337,337,542,543
339,339,543,544
340,340,545,548
341,341,548,549
342,342,549,552
343,343,552,556
344,344,556,558
345,345,558,563
346,346,563,
347,347,563,565
348,348,565,567
349,349,567,
350,350,567,
351,351,568,571
353,353,572,574
354,354,574,575
355,355,576,578
356,356,578,580
357,357,580,587
358,358,587,
359,359,587,589
360,360,590,592
506,508,878,882
507,509,882,889
508,510,889,890
509,511,890,894
510,512,895,900
511,513,900,905
512,514,905,909
513,515,909,911
514,516,911,912
515,517,912,915
516,518,915,918
517,519,918,920
518,520,920,923
519,521,923,927
520,522,927,930
521,523,930,933
522,524,933,935
523,525,935,939
524,526,939,942
525,527,943,944
526,528,944,950
527,529,950,953
528,530,954,958
529,531,958,961
530,532,961,963
531,533,963,966
532,534,966,968
533,535,968,970
534,536,971,972
